index,category,sub_category,job_title,province,job_company,job_industry,job_finance,job_welfare,job_experience,job_education,job_skills,create_time,scale_lower,scale_high,city,district,street
29,后端开发,Java,技术leader,浙江,万向区块链,互联网,不需要融资,"餐补,通讯补贴,定期体检,带薪年假,员工旅游,节日福利,零食下午茶,年终奖,加班补助,补充医疗保险,五险一金",3,本科,"Java,SpringCloud,Oracle,团队管理经验,供应链金融",2024-08-31,100,499,杭州,萧山区,西兴
31,后端开发,C/C++,游戏开发工程师,浙江,不鸣科技,游戏,不需要融资,"团建聚餐,生日福利,节日福利,节假日加班费,零食下午茶,年终奖,带薪年假,餐补,五险一金,定期体检,员工旅游,法定节假日三薪",1,本科,"C++,C",2024-08-31,100,499,杭州,西湖区,西溪
33,后端开发,C/C++,高级游戏服务端开发工程师（slg+X新项目）,浙江,ONEMT,游戏,未融资,"生日福利,节日福利,带薪年假,零食下午茶,餐补,员工旅游,定期体检,全勤奖,团建聚餐,节假日加班费,加班补助,法定节假日三薪,年终奖,绩效奖金,五险一金",3,本科,"C++,游戏后端经验,skynet",2024-08-31,500,999,杭州,西湖区,西溪
36,后端开发,C/C++,资深开发工程师/技术专家,浙江,凌迪科技,互联网,B轮,"餐补,交通补助,员工旅游,免费工装,团建聚餐,年终奖,购房无息借款,带薪年假,工龄奖,五险一金,股票期权,零食下午茶,绩效奖金,生日福利,节日福利,定期体检",3,本科,"C++,计算机相关专业,Qt项目开发经验,C++服务端开发经验,,,",2024-08-31,500,999,杭州,西湖区,西溪
40,后端开发,C/C++,游戏C++服务端开发,浙江,金山西山居,游戏,不需要融资,"岗位晋升,技能培训,绩效奖金,五险一金,生日福利,节日福利,带薪年假,补充医疗保险,定期体检,免费班车,年终奖,海景办公,团建聚餐,餐补,员工旅游",1,本科,"游戏引擎,Lua,C++,后端开发,游戏开发,服务器端开发",2024-08-31,1000,9999,杭州,滨江区,西兴
41,后端开发,C/C++,C++信奥赛老师,浙江,517编程教育,在线教育,未融资,"生日福利,保底工资,员工旅游,绩效奖金,五险一金,加班补助,节日福利,底薪加提成,团建聚餐,节假日加班费,年终奖",0,本科,C++,2024-08-31,20,99,杭州,拱墅区,蓝钻天城购物中心
47,后端开发,C/C++,游戏服务端开发,浙江,东方云起信息数据...,互联网,未融资,"带薪年假,定期体检,健康关怀,五险一金,员工旅游,节日福利,零食下午茶,年终奖",2,本科,"Skynet,服务器端开发,MySQL,MacOS,Windows,,,",2024-08-31,100,499,杭州,滨江区,长河
48,后端开发,C/C++,c++服务器开发工程师,浙江,日京科技,计算机软件,未融资,"年终奖,保底工资,绩效奖金,五险一金",2,大专,"数据结构,游戏开发,服务器端开发,SQL,Socket技术,",2024-08-31,0,20,杭州,滨江区,浦沿
49,后端开发,C/C++,高级/资深音视频开发 MJ003522,浙江,涂鸦智能,互联网,已上市,"股票期权,每月团建费,员工旅游,加班补助,定期体检,带薪年假,每年outing,通讯补贴,交通补助,节日福利,年终奖,五险一金",1,本科,"音视频经验,C++,OpenGL,IoT,P2P,WebRTC",2024-08-31,1000,9999,杭州,西湖区,西溪
50,后端开发,C/C++,广告服务端开发工程师（C++/JAVA）,浙江,上海从鲸信息技术,互联网,未融资,五险一金,0,本科,C++,2024-08-31,500,999,杭州,钱塘区,工业园南
58,后端开发,C/C++,C++,浙江,杭州瑞网广通,计算机软件,A轮,"通讯补贴,五险一金,节日福利,交通补助,高温补贴,员工旅游,年终奖,加班补助,零食下午茶,餐补,带薪年假",1,本科,"Linux,流媒体转封装,视频编解码",2024-08-31,20,99,杭州,余杭区,仓前
60,后端开发,PHP,PHP工程师（双休、五险一金）,浙江,杭州北极狼网络科技,游戏,未融资,"零食下午茶,年终奖,全勤奖,员工旅游,带薪年假,股票期权,节日福利,五险一金",2,本科,"PHP,Laravel/Yii/ThinkPHP,MySQL/Redis/MongoDB,,",2024-08-31,20,99,杭州,滨江区,长河
61,后端开发,PHP,php开发工程师,浙江,凯美晨,电子商务,未融资,"节日福利,带薪年假,通讯补贴,股票期权,高温补贴,员工旅游,零食下午茶,全勤奖,五险一金,年终奖,团建聚餐",1,本科,PHP,2024-08-31,100,499,杭州,萧山区,西兴
63,后端开发,PHP,资深后端研发/架构师（PHP）,浙江,凌迪科技,互联网,B轮,"绩效奖金,股票期权,免费工装,餐补,团建聚餐,定期体检,节日福利,交通补助,购房无息借款,带薪年假,五险一金,工龄奖,零食下午茶,年终奖,员工旅游,生日福利",3,本科,"PHP,计算机相关专业,PHP开发经验,架构设计经验,DDD,",2024-08-31,500,999,杭州,西湖区,西溪
64,后端开发,PHP,php工程师,浙江,holdwell,进出口贸易,不需要融资,"底薪加提成,保底工资,团建聚餐,绩效奖金,补充医疗保险,带薪年假,全勤奖,员工旅游,五险一金,年终奖,生日福利,股票期权,定期体检,节日福利",2,大专,"PHP,MySQL/Redis/MongoDB,PHP开发经验,,,,",2024-08-31,100,499,杭州,萧山区,新街
67,后端开发,PHP,资深php开发工程师,浙江,墅泽智家,智能硬件,不需要融资,"年终奖,定期体检,补充医疗保险,五险一金",2,大专,"PHP,PHP开发经验,服务端开发经验",2024-08-31,20,99,杭州,西湖区,西溪
68,后端开发,PHP,PHP开发工程师,浙江,泛远国际,跨境物流,已上市,"节日福利,补充医疗保险,工会福利,年终奖,加班补助,五险一金,通讯补贴,定期体检,餐补,股票期权,定期团建,零食下午茶,带薪年假",1,本科,"PHP,PHP开发经验,MySQL",2024-08-31,500,999,杭州,拱墅区,东新
71,后端开发,PHP,php开发工程师,浙江,吉特博通科技,互联网,不需要融资,"补充医疗保险,全勤奖,定期体检,员工旅游,生日福利,带薪年假,五险一金,团建聚餐,年终奖,夜班补助,节日福利,零食下午茶",2,本科,"PHP,MySQL/Redis/MongoDB,PHP开发经验,Web3,",2024-08-31,100,499,杭州,钱塘区,金沙湖
72,后端开发,PHP,高级php工程师,浙江,中鸥万鞍,互联网,天使轮,"绩效奖金,零食下午茶,保底工资,企业年金,全勤奖,底薪加提成,补充医疗保险,带薪年假,夜班补助,工龄奖,团建聚餐,定期体检,法定节假日三薪,股票期权,节假日加班费,年终奖,五险一金,意外险,加班补助,员工旅游",2,本科,"PHP,Laravel/Yii/ThinkPHP,C++,PHP开发经验,,",2024-08-31,20,99,杭州,滨江区,长河
74,后端开发,PHP,php工程师,浙江,顺历顺利科技有限公司,互联网,未融资,"底薪加提成,全勤奖,生日福利,夜班补助,团建聚餐,保底工资,工龄奖,带薪年假,加班补助,零食下午茶,五险,交通补助,节日福利,员工旅游",2,本科,"PHP,PHP开发经验,大数据项目开发经验,架构设计经验,,",2024-08-31,100,499,杭州,钱塘区,金沙湖
75,后端开发,PHP,后端php工程师,浙江,仓谷数字,互联网,天使轮,"加班补助,团建聚餐,法定节假日三薪,股票期权,五险一金,企业年金,全勤奖,保底工资,绩效奖金,免费工装,带薪年假,零食下午茶,夜班补助,生日福利,年终奖,底薪加提成,节假日加班费,意外险,定期体检,员工旅游",3,本科,"PHP,PHP开发经验,大数据项目开发经验,架构设计经验",2024-08-31,20,99,杭州,上城区,望江
76,后端开发,PHP,PHP工程师,浙江,杭州一道科技,互联网,不需要融资,"股票期权,五险一金,带薪年假,零食下午茶,员工旅游,节日福利,年终奖",1,本科,"PHP,HTML,CSS",2024-08-31,20,99,杭州,萧山区,钱江世纪城
77,后端开发,PHP,php开发【极差分红直销项目】,浙江,上义科技,计算机软件,B轮,"餐补,年终奖,零食下午茶,带薪年假,股票期权,五险一金,全勤奖",0,大专,"PHP开发经验,PHP",2024-08-31,100,499,杭州,钱塘区,金沙湖
78,后端开发,PHP,PHP,浙江,千量科技,生活服务(O2O),天使轮,"保底工资,底薪加提成,五险一金,绩效奖金",2,大专,"Laravel,后端开发,APP后台开发,Redis,MySQL,Linux",2024-08-31,0,20,杭州,余杭区,仓前
79,后端开发,PHP,PHP初中级开发工程师,浙江,刚刚好影业,广播/影视,天使轮,"年终奖,节日福利,零食下午茶,员工旅游,生日福利,全勤奖,节假日加班费,绩效奖金,带薪年假,五险一金",1,大专,小程序,2024-08-31,100,499,杭州,西湖区,西溪
80,后端开发,PHP,php,浙江,义乌协润,进出口贸易,未融资,"团建聚餐,节日福利,带薪年假,五险,全勤奖,底薪加提成,保底工资,绩效奖金,年终奖",2,大专,"PHP,Laravel/Yii/ThinkPHP,MySQL/Redis/MongoDB,,",2024-08-31,20,99,杭州,萧山区,新街
82,后端开发,PHP,PHP开发工程师（广告业务）,浙江,玩心不止,游戏,不需要融资,"补充医疗保险,全勤奖,五险一金,年终奖,定期体检,带薪年假,员工旅游,包吃,交通补助,零食下午茶,节日福利,餐补",2,本科,"PHP,LNMP/LAMP,Laravel/Yii/ThinkPHP,PHP开发经验,,",2024-08-31,500,999,杭州,余杭区,五常
83,后端开发,PHP,php开发工程师,浙江,杭州智团,医疗健康,C轮,"五险一金,定期体检,年终奖,餐补,交通补助",1,本科,"PHP,PHP开发经验,计算机相关专业",2024-08-31,100,499,杭州,滨江区,长河
87,后端开发,PHP,PHP开发工程师,浙江,有播,互联网,天使轮,"零食下午茶,加班补助,带薪年假,五险一金,年终奖,员工旅游",2,本科,"PHP,后端开发,移动开发,Yii,Laravel,社交,,",2024-08-31,20,99,杭州,余杭区,仓前
88,后端开发,PHP,PHP开发,浙江,杭州将游网络科技,计算机软件,未融资,年终奖,1,大专,PHP,2024-08-31,0,20,杭州,上城区,城东
89,后端开发,PHP,企业信息化主管（要会用PHP）,浙江,杭州希燃网络科技,电子商务,未融资,"零食下午茶,员工旅游,带薪年假,全勤奖,保底工资,高温补贴,团建聚餐,绩效奖金,五险一金,节日福利,生日福利,年终奖",2,本科,"PHP,PHP开发经验",2024-08-31,20,99,杭州,滨江区,长河
91,后端开发,Python,python开发工程师,浙江,思考者科技,计算机服务,未融资,"零食下午茶,带薪年假,五险,股票期权,年终奖",0,大专,"Python,Flask,Django,Tornado,MongoDB,Redis",2024-08-31,20,99,杭州,滨江区,长河
92,后端开发,Python,软件开发工程师,浙江,中数智科,互联网,天使轮,"通讯补贴,员工旅游,高温补贴,股票期权,年终奖,生日福利,团建聚餐,带薪年假,法定节假日三薪,五险一金,餐补,夜班补助,加班补助,绩效奖金,零食下午茶,定期体检,节假日加班费,节日福利",1,本科,"C++,C",2024-08-31,20,99,杭州,上城区,九堡
94,后端开发,Python,python编程老师【五险一金 就近校区沟通】,浙江,创想童年,学前教育,已上市,"五险一金,节日福利,加班补助,股票期权,全勤奖,年终奖,定期体检,员工旅游,带薪年假",1,大专,"爬虫,Python,计算机相关专业,数学/统计相关专业",2024-08-31,100,499,杭州,余杭区,西溪
97,后端开发,Python,全栈开发工程师(J10337),浙江,杰峰科技,智能硬件,不需要融资,"免费班车,五险一金,带薪年假,宿舍有空调,员工旅游,带薪年假,节日福利,员工旅游,工龄奖,生日福利,全勤奖,保底工资,餐补,保底工资,团建聚餐,绩效奖金,股票期权,年终奖,定期体检,团建聚餐",2,本科,"Python,Golang,Nginx,Docker,Kubernetes,Redis,,,,",2024-08-31,1000,9999,杭州,西湖区,古荡
99,后端开发,Python,python工程师,浙江,元乙智能,互联网,天使轮,"五险一金,零食下午茶,团建聚餐,生日福利,餐补,节日福利,全勤奖,股票期权,绩效奖金,年终奖,带薪年假",3,本科,"Python,Java,Django,PyTorch,MySQL,机器学习经验",2024-08-31,20,99,杭州,滨江区,长河
100,后端开发,Python,高级后端工程师,浙江,浙江水科,智能硬件,A轮,"五险,通讯补贴,员工旅游,餐补,节日福利,加班补助,年终奖,交通补助",3,本科,"后端,数据开发,计算机相关专业,Python,Docker,MySQL",2024-08-31,20,99,杭州,临平区,九堡
101,后端开发,Python,Python助教老师（双休/五险一金）-仓前,浙江,小码教育,在线教育,C轮,"年终奖,五险一金,零食下午茶,员工旅游,有无线网,节日福利,股票期权,带薪年假",0,本科,"辅导老师,少儿编程老师",2024-08-31,1000,9999,杭州,余杭区,仓前
102,后端开发,Python,高级python开发工程师,浙江,微风企科技,大数据,A轮,"免费班车,五险一金,定期体检,交通补助,带薪年假,股票期权,零食下午茶,工龄奖,有无线网,生日福利,加班补助,绩效奖金,团建聚餐,底薪加提成,节日福利,年终奖,员工旅游",2,本科,"后端,Python,计算机相关专业",2024-08-31,100,499,杭州,西湖区,西溪
104,后端开发,Python,算法交易工程师,浙江,弈宸基金,基金,不需要融资,"底薪加提成,绩效奖金,节日福利,免费工装,带薪年假,年终奖,餐补,五险一金,全勤奖,零食下午茶,员工旅游,团建聚餐,生日福利",1,本科,"Python,Pandas,Spark,Linux开发/部署经验",2024-08-31,20,99,杭州,上城区,钱江新城
107,后端开发,Python,后端开发工程师（音视频）,浙江,像衍科技,计算机软件,天使轮,"绩效奖金,五险一金,生日福利,团建聚餐,带薪年假,节日福利,交通补助",2,本科,"Python,云计算经验,音视频开发经验",2024-08-31,20,99,杭州,余杭区,海创园
110,后端开发,Python,python开发,浙江,杭州七凌,计算机服务,不需要融资,五险一金,1,本科,"Python,Django,MySQL,团队管理经验",2024-08-31,500,999,杭州,滨江区,长河
111,后端开发,Python,大模型Prompt工程师,浙江,杭州斑头雁智能科技,计算机软件,A轮,"年终奖,零食下午茶,定期体检,员工旅游,节日福利,五险一金,团建聚餐,节假日加班费,股票期权,生日福利,法定节假日三薪,带薪年假",2,本科,"MySQL,接受无前端经验/技能,Ai,其他,Prompt,,",2024-08-31,20,99,杭州,余杭区,仓前
112,后端开发,Python,rpa专员,浙江,义乌西邦网络,电子商务,不需要融资,"生日福利,宿舍有空调,零食下午茶,工龄奖,包住,团建聚餐,定期体检,节日福利,五险一金",1,本科,"Python,Java",2024-08-31,100,499,杭州,萧山区,钱江世纪城
114,后端开发,Python,算法工程师,浙江,品览数据,大数据,A轮,"绩效奖金,零食下午茶,年终奖,股票期权,带薪年假,生日福利,免费班车,定期体检,团建聚餐,节日福利,员工旅游,补充公积金,交通补助,五险一金",2,本科,"Python,Docker,MySQL,微服务经验,图形学",2024-08-31,20,99,杭州,钱塘区,和达东东城
115,后端开发,Python,RPA开发实习生,浙江,浙江踏云鞋业有限公司,新零售,未融资,"底薪加提成,节日福利,零食下午茶,团建聚餐,绩效奖金,全勤奖,工龄奖,五险一金,带薪年假,生日福利",0,本科,"Python,Kafka,MySQL,爬虫经验,影刀,RPA",2024-08-31,100,499,杭州,滨江区,西兴
116,后端开发,Python,高级python开发工程师,浙江,数环科技,企业服务,A轮,"餐补,全额公积金,底薪加提成,团建聚餐,五险一金,节日福利,年终奖,带薪年假,股票期权",2,本科,"Python,Pandas,Django,Flask,MySQL,MongoDB,,",2024-08-31,20,99,杭州,余杭区,仓前
117,后端开发,Python,python后端开发工程师,浙江,漠坦尼,信息安全,未融资,"通讯补贴,团建聚餐,餐补,五险一金,定期体检,年终奖,节日福利,带薪年假,朝九晚五",2,本科,"Python,Django,MySQL",2024-08-31,100,499,杭州,上城区,望江
118,后端开发,Python,python高级开发工程师,浙江,圣庭生物,医疗健康,不需要融资,"餐补,员工旅游,带薪年假,年终奖,住房补贴,五险一金,定期团建,零食下午茶,定期体检,股票期权,节日福利",3,本科,"Python,Java,Linux开发/部署经验",2024-08-31,100,499,杭州,余杭区,金家渡
121,后端开发,.NET,.net开发工程师,浙江,微诚出海,电子商务,不需要融资,"生日福利,节日福利,带薪年假,员工旅游,法定节假日三薪,定期体检,绩效奖金,五险一金,年终奖,团建聚餐,零食下午茶,节假日加班费,全勤奖,股票期权,包吃",1,大专,".NET Core,跨境erp系统,大型B/S",2024-08-31,100,499,杭州,上城区,九堡
122,后端开发,.NET,资深后端开发工程师,浙江,博日科技,医疗健康,不需要融资,"定期体检,节日福利,通讯补贴,免费停车位,五险一金,包吃,补充医疗保险,加班补助,带薪年假,员工旅游,年终奖,免费班车",3,本科,".NET Core,.NET,C#,.NET开发经验,计算机相关专业,",2024-08-31,500,999,杭州,滨江区,浦沿
123,后端开发,.NET,软件开发 （MES系统）,浙江,杭州科百特过滤器材,其他行业,不需要融资,"年终奖,免费班车,团建聚餐,员工旅游,法定节假日三薪,通讯补贴,保底工资,定期体检,高温补贴,带薪年假,节假日加班费,股票期权,意外险,宿舍有空调,住房补贴,交通补助,节日福利,五险一金,免费宿舍,绩效奖金",1,本科,".NET Core,C#,MySQL/SQL Server/Oracle",2024-08-31,1000,9999,杭州,萧山区,临浦
125,后端开发,.NET,.NET软件工程师,浙江,网尽科技,计算机软件,未融资,"节日福利,年终奖,员工旅游,五险一金,餐补,加班补助",1,本科,"C#,服务端开发经验,MySQL,.NET,.NET开发经验,,,,,,",2024-08-31,20,99,杭州,余杭区,仓前
126,后端开发,.NET,.NET桌面软件开发工程师,浙江,天健,财务/审计/税务,不需要融资,"员工俱乐部,节日福利,通讯补贴,定期体检,全勤奖,员工旅游,带薪年假,交通补助,五险一金,年终奖",2,本科,"WPF,MySQL,C#,Windows,Winform,SQL Server,,",2024-08-31,1000,9999,杭州,萧山区,奥体中心
128,后端开发,.NET,U9主管(湖州),浙江,兆弟,建筑材料,未融资,"员工旅游,婚生福利,节日福利,带薪年假,年终奖",3,大专,".NET,C#,ERP系统开发经验",2024-08-31,1000,9999,杭州,拱墅区,北景园
130,后端开发,.NET,.net 接口开发（双休+年终奖+需要出差）,浙江,禾连健康,医疗健康,B轮,"五险一金,带薪年假,年终奖,节日福利,生日福利,股票期权,员工旅游,零食下午茶,定期体检,团建聚餐",2,大专,".NET,MySQL/SQL Server/Oracle,.NET开发经验",2024-08-31,100,499,杭州,西湖区,西溪
131,后端开发,.NET,C#,浙江,迪联科技,互联网,天使轮,"节日福利,餐补,定期体检,五险一金,年终奖,带薪年假,全勤奖",1,本科,".NET Core,C#,MySQL/SQL Server/Oracle,服务端开发经验,,",2024-08-31,20,99,杭州,临平区,星桥
132,后端开发,.NET,.net开发工程师,浙江,远图,计算机软件,B轮,"年终奖,加班补助,零食下午茶,五险一金,带薪年假,节日福利",1,本科,".NET,MySQL/SQL Server/Oracle,.NET开发经验",2024-08-31,100,499,杭州,西湖区,西溪
135,后端开发,.NET,.NET工程师,浙江,网新恒天软件,计算机软件,未融资,"节日福利,年终奖,定期体检,餐补,免费班车,带薪年假,补充医疗保险,五险一金",2,本科,"C#,留学生优先,.NET,计算机相关专业,.NET Core",2024-08-31,1000,9999,杭州,西湖区,三墩
138,后端开发,.NET,.NET软件开发工程师（杭州）,浙江,京腾智能,仪器仪表/工业自动化,未融资,"交通补助,五险一金,节日福利,零食下午茶,团建聚餐,高温补贴,定期体检,意外险,年终奖,员工旅游,带薪年假,生日福利",1,本科,"C#,.NET开发经验,WMS,适应出差",2024-08-31,100,499,杭州,余杭区,仓前
139,后端开发,.NET,net开发工程师,浙江,云澎科技,智能硬件,不需要融资,"员工旅游,住房补贴,餐补,节日福利,带薪年假,意外险,包吃,年终奖,股票期权,团建聚餐,交通补助,绩效奖金,通讯补贴,五险",1,本科,"前端开发经验,.NET开发经验",2024-08-31,20,99,杭州,西湖区,西溪
140,后端开发,.NET,.NET开发工程师,浙江,立镖机器人,智能硬件,未融资,"加班补助,包吃,节日福利,零食下午茶,带薪年假,五险一金,年终奖,员工旅游,定期体检",2,本科,"C#,.NET,.NET Core,.NET开发经验,计算机相关专业",2024-08-31,100,499,杭州,临平区,临平
141,后端开发,.NET,NET Core开发主管（后端）,浙江,铭师智生,互联网,未融资,"零食下午茶,年终奖,团建聚餐,生日福利,五险一金,员工旅游,节日福利,带薪年假,底薪加提成,保底工资,有无线网",3,本科,".NET,.NET开发经验",2024-08-31,20,99,杭州,上城区,九堡
142,后端开发,.NET,.NET,浙江,杭州深信科技有限公司,计算机软件,未融资,"五险一金,零食下午茶,加班补助,带薪年假,绩效奖金,年终奖,有无线网",1,本科,".NET,C#,计算机相关专业,.NET开发经验",2024-08-31,0,20,杭州,余杭区,仓前
143,后端开发,.NET,软件工程师,浙江,杭州宏丽数智科技,企业服务,不需要融资,"餐补,带薪年假,底薪加提成,绩效奖金,五险一金",3,大专,".NET,HTML,CSS,.NET开发经验,ERP系统开发经验,,,,",2024-08-31,20,99,杭州,临平区,临平
144,后端开发,.NET,高薪.net开发程序员,浙江,芸景网络,互联网,A轮,"宿舍有空调,带薪年假,节日福利,高温补贴,意外险,绩效奖金,包住,五险一金,补充医疗保险,年终奖,团建聚餐,生日福利,有无线网",1,大专,".NET,C#",2024-08-31,100,499,杭州,拱墅区,拱宸桥
145,后端开发,.NET,.net开发工程师(OA),浙江,杭州梓阳科技有限公司,计算机服务,不需要融资,"节日福利,五险一金,带薪年假,零食下午茶,定期体检",1,大专,.NET,2024-08-31,100,499,杭州,临平区,东湖
146,后端开发,.NET,.NET高级软件工程师,浙江,厚达智能,医疗健康,未融资,"五险一金,餐补,高温补贴,定期体检,年终奖,零食下午茶,节日福利,通讯补贴,生日福利,股票期权,团建聚餐,意外险,员工旅游,人才补助政策,带薪年假",3,本科,"C#,EF,多线程,.NET,.NET开发经验,ASP.NET,,,,",2024-08-31,100,499,杭州,余杭区,西溪
147,后端开发,.NET,.net高级开发（双休）,浙江,商仓,跨境物流,未融资,"夜班补助,五险一金,年终奖,团建聚餐,高温补贴,定期体检,高温补贴,节日福利,绩效奖金,餐补,全勤奖,带薪年假,零食下午茶,员工旅游,节假日加班费,法定节假日三薪,加班补助",2,本科,".NET,.NET Core",2024-08-31,20,99,杭州,滨江区,西兴
148,后端开发,.NET,net高级工程师,浙江,捷配网,互联网,B轮,"员工旅游,股票期权,带薪年假,定期体检,零食下午茶,餐补,节日福利,五险一金",2,本科,".NET,.NET Core,MySQL/SQL Server/Oracle,,",2024-08-31,1000,9999,杭州,拱墅区,新天地
149,后端开发,.NET,.NET MES软件开发工程师（C#）,浙江,先腾数据技术,计算机软件,天使轮,"年终奖,定期体检,意外险,团建聚餐,生日福利,员工旅游,餐补,节日福利,底薪加提成,五险一金,零食下午茶,带薪年假,交通补助,绩效奖金,通讯补贴",2,本科,.NET,2024-08-31,20,99,杭州,余杭区,仓前
154,后端开发,Golang,golang开发工程师,浙江,视见睿来,互联网,A轮,"节日福利,员工旅游,加班补助,年终奖,股票期权,零食下午茶,五险一金,带薪年假,定期体检",2,本科,"Golang,计算机相关专业,Golang服务端开发经验,计费,,",2024-08-31,20,99,杭州,滨江区,星耀城
155,后端开发,Golang,Golang开发工程师 - 外派,浙江,优钱付(中国),互联网金融,未融资,"五险一金,餐补,零食下午茶,全勤奖",1,本科,"MySQL,Golang,Gin,英语读写能力良好,计算机相关专业,",2024-08-31,20,99,杭州,余杭区,仓前
158,后端开发,Golang,golang开发工程师,浙江,熊淘网络科技(杭...,智能硬件,不需要融资,"团建聚餐,五险一金,生日福利,股票期权,节假日加班费,带薪年假,零食下午茶,定期体检,节日福利",1,大专,"Golang,MongoDB,MySQL,influxdb,mqtt,kafka",2024-08-31,0,20,杭州,拱墅区,三墩
162,后端开发,Golang,服务器后端主程（常驻长沙）,浙江,美木,游戏,不需要融资,"生日福利,带薪年假,零食下午茶,员工旅游,五险一金,绩效奖金,年终奖,团建聚餐",2,本科,"Golang,Java,C++,Golang服务端开发经验,游戏开发,",2024-08-31,20,99,杭州,滨江区,浦沿
163,后端开发,Golang,滴滴国际化-后端研发工程师,浙江,滴滴,移动互联网,D轮及以上,"五险一金,补充医疗保险,定期体检",2,本科,"Golang,Java,PHP,计算机相关专业",2024-08-31,1000,9999,杭州,西湖区,西溪
169,后端开发,Golang,后端开发工程师,浙江,深图智能,计算机软件,A轮,"五险一金,餐补,员工旅游,免费工装,生日福利,零食下午茶,交通补助,带薪年假,年终奖,节日福利,股票期权,团建聚餐",2,本科,"Golang,Python,中大型项目开发经验",2024-08-31,20,99,杭州,余杭区,仓前
170,后端开发,Golang,中级GO开发工程师,浙江,科聪,智能硬件,A轮,"年终奖,带薪年假,节日福利,零食下午茶,生日福利,商业保险,团建聚餐,员工旅游,五险一金,餐补,有无线网,补充医疗保险,舒适办公,出差补贴,自助饮料",2,本科,"Golang,Gin,MySQL,Golang服务端开发经验,云原生,",2024-08-31,100,499,杭州,滨江区,长河
171,后端开发,Golang,go开发工程师,浙江,迈象科技,社交网络,不需要融资,"可躺工学椅,员工旅游,五险一金,免费现磨咖啡,节日福利,餐补,定期体检,带薪年假,零食下午茶,年终奖",2,本科,"Golang,计算机相关专业",2024-08-31,20,99,杭州,滨江区,长河
